Komentar_Asli,Komentar_Labeling,Komentar_Bersih,Sentimen,Confidence_Score,Panjang_Karakter,Jumlah_Kata
"Sebagus - bagusnya samsung, semahal - mahalnya Samsung, tetap baterai gak pernah nembus lebih dari 5000 mah. Ada paling bisa dihitung dengan jari. Upgrade bisa jadi poin untuk pemakaian jangka panjang. Tapi jika tidak dikasih pendingin, malah sering demam. Jika demamnya terlalu panas, muncul notifikasi.","Sebagus - bagusnya samsung, semahal - mahalnya Samsung, tetap baterai gak pernah nembus lebih dari 5000 mah. Ada paling bisa dihitung dengan jari. Upgrade bisa jadi poin untuk pemakaian jangka panjang. Tapi jika tidak dikasih pendingin, malah sering demam. Jika demamnya terlalu panas, muncul notifikasi.",bagus bagus samsung mahal mahal samsung tetap baterai tidak pernah nembus lebih 5000 mah paling hitung jari upgrade jadi poin pakai jangka panjang jika tidak kasih dingin malah sering demam jika demam terlalu panas muncul notifikasi,Negatif,72.32,304,45
kalo dengan oppo 15 pro max mending mana ya ?,kalo dengan oppo 15 pro max mending mana ya ?,oppo 15 pro max mending mana,Negatif,70.96,45,10
"nonton doang beli kaga, sedih bangettt","nonton doang beli kaga, sedih bangettt",nonton doang beli kaga sedih bangettt,Negatif,99.83,38,6
A57 fitur dex tutornya om,A57 fitur dex tutornya om,a57 fitur dex tutor om,Netral,95.49,25,5
Bg coba anboxing galaxy a16 pow patrol,Bg coba anboxing galaxy a16 pow patrol,bg coba anboxing galaxy a16 pow patrol,Netral,82.49,38,7
Kalo dipake ojol trus dbawa ujanan aman gk sih biar gk usah pake case watterprof lg 😁,Kalo dipake ojol trus dbawa ujanan aman gk sih biar gk usah pake case watterprof lg 😁,dipake ojol trus dbawa ujanan aman tidak sih tidak usah pake case watterprof lg,Negatif,93.56,85,17
Sangat Bagus dan mantap,Sangat Bagus dan mantap,sangat bagus mantap,Positif,99.78,23,4
"Bingung,,, samsung a57 atau xiomi 17t..","Bingung,,, samsung a57 atau xiomi 17t..",bingung samsung a57 xiomi 17t,Negatif,99.1,39,6
Gitu² aja model nya,Gitu² aja model nya,gitu model,Negatif,98.49,19,4
mending tu kamera makro d hapus aja napa wkwkw kaga ada gunanya anj  brand brand lain aja kelas midrange uda ga pake macro haha,mending tu kamera makro d hapus aja napa wkwkw kaga ada gunanya anj brand brand lain aja kelas midrange uda ga pake macro haha,mending tu kamera makro hapus napa wkwkw kaga guna anj brand brand lain kelas midrange uda tidak pake macro haha,Negatif,98.82,127,24
"Maaf inimah minta saran dan pandangan jangan di hujat, saya pengguna iPhone 14 bosen di iPhone terus coba bandingin sama hp Samsung a57 5g nah gimana nih rekomendasi ngga","Maaf inimah minta saran dan pandangan jangan di hujat, saya pengguna iPhone 14 bosen di iPhone terus coba bandingin sama hp Samsung a57 5g nah gimana nih rekomendasi ngga",maaf inimah minta saran pandang jangan hujat guna iphone 14 bosen iphone terus coba bandingin sama handphone samsung a57 5g nah gimana nih rekomendasi ngga,Negatif,98.31,170,29
"chekout dulu hp nya, baru liat review","chekout dulu hp nya, baru liat review",chekout dulu handphone baru liat review,Negatif,73.43,37,7
"bang,mending a57 apa s23 fe?","bang,mending a57 apa s23 fe?",mending a57 apa s23 fe,Netral,72.45,28,5
Salam semua sehat selamat sukses sejahtera selalu❤🙏🇮🇩,Salam semua sehat selamat sukses sejahtera selalu❤🙏🇮🇩,salam semua sehat selamat sukses sejahtera selalu,Positif,58.09,53,7
"Saya nonton ini untuk update informasi aja,
Dan masih bertahan dengan A53 😂","Saya nonton ini untuk update informasi aja, Dan masih bertahan dengan A53 😂",nonton update informasi masih tahan a53,Positif,67.96,75,13
Sangat membantu ....upgrade pengetahuan juga 👍,Sangat membantu ....upgrade pengetahuan juga 👍,sangat bantu upgrade tahu juga,Positif,98.14,46,6
"Daridulu gonta-ganti brand, cuman samsung yang bikin nyaman. Terutama dibagian UI sama systemnya. Stabil banget","Daridulu gonta-ganti brand, cuman samsung yang bikin nyaman. Terutama dibagian UI sama systemnya. Stabil banget",daridulu gonta ganti brand cuman samsung bikin nyaman utama bagi ui sama systemnya stabil banget,Positif,99.28,111,15
samsung sekarang zona nyaman menurut saya sekarang seri midnya kurang ada inovasi yang wah,samsung sekarang zona nyaman menurut saya sekarang seri midnya kurang ada inovasi yang wah,samsung sekarang zona nyaman turut sekarang seri midnya kurang inovasi wah,Negatif,73.18,90,14
Bang minta saran dong mending beli yg seri A57 5G ato yg s24 FE.. rencana mau nyari Samsung Ahir bulan😁,Bang minta saran dong mending beli yg seri A57 5G ato yg s24 FE.. rencana mau nyari Samsung Ahir bulan😁,minta saran dong mending beli seri a57 5g ato s24 fe rencana mau nyari samsung ahir bulan,Negatif,57.34,103,20
"Samsung A22 4G gue noh masih bagus, dari 2021 masih aman, minus penyimpanan doang 😅","Samsung A22 4G gue noh masih bagus, dari 2021 masih aman, minus penyimpanan doang 😅",samsung a22 4g gue noh masih bagus 2021 masih aman minus simpan doang,Negatif,45.09,83,15
Nonton make A54,Nonton make A54,nonton make a54,Netral,94.73,15,3
"Samsung Galaxy A50, A51, A52, A53, A54, A55, A56, A57, A58, A59, A60

Samsung Galaxy A30, A31, A32, A33, A34, A35, A36, A37, A38, A39, A40

Samsung Galaxy A20, A21, A22, A23, A24, A25, A26, A27, A28, A29

Samsung Galaxy A10, A11, A12, A13, A14, A15, A16, A17, A18, A19

Samsung Galaxy A01, A02, A03, A04, A05, A06, A07, A08, A09","Samsung Galaxy A50, A51, A52, A53, A54, A55, A56, A57, A58, A59, A60 Samsung Galaxy A30, A31, A32, A33, A34, A35, A36, A37, A38, A39, A40 Samsung Galaxy A20, A21, A22, A23, A24, A25, A26, A27, A28, A29 Samsung Galaxy A10, A11, A12, A13, A14, A15, A16, A17, A18, A19 Samsung Galaxy A01, A02, A03, A04, A05, A06, A07, A08, A09",samsung galaxy a50 a51 a52 a53 a54 a55 a56 a57 a58 a59 a60 samsung galaxy a30 a31 a32 a33 a34 a35 a36 a37 a38 a39 a40 samsung galaxy a20 a21 a22 a23 a24 a25 a26 a27 a28 a29 samsung galaxy a10 a11 a12 a13 a14 a15 a16 a17 a18 a19 samsung galaxy a01 a02 a03 a04 a05 a06 a07 a08 a09,Netral,96.4,328,61
Sekarang banyak review yang fokus ke spesifikasi dan benchmark. Yang lebih susah dicari justru rangkuman pengalaman pengguna dari berbagai platform. Kadang keluhan yang sama muncul berulang kali tapi tersebar di banyak tempat sehingga tidak kelihatan polanya.,Sekarang banyak review yang fokus ke spesifikasi dan benchmark. Yang lebih susah dicari justru rangkuman pengalaman pengguna dari berbagai platform. Kadang keluhan yang sama muncul berulang kali tapi tersebar di banyak tempat sehingga tidak kelihatan polanya.,sekarang banyak review fokus spesifikasi benchmark lebih susah cari justru rangkum alam guna bagai platform kadang keluh sama muncul ulang kali sebar banyak tempat sehingga tidak lihat pola,Negatif,92.77,259,36
"Masih stay di Galaxy A51, nunggu samsung Galaxy A59,9 😅😅😅","Masih stay di Galaxy A51, nunggu samsung Galaxy A59,9 😅😅😅",masih stay galaxy a51 nunggu samsung galaxy a59,Negatif,73.26,57,10
Samsung mantap di flagshipnya,Samsung mantap di flagshipnya,samsung mantap flagshipnya,Positif,95.45,29,4
"Baru bgt beli Samsung a57 nyesel bgt, dpt harga 6.7 kemakan rayuan sales. Bagiku overprice bgt mending beli Xiaomi 14t ato nggk Poco x8 pro. 
Berhubung kepepet Hp lama matot dan ragu beli online karna bnyk yg zonk walaupun beli di official store-nya. Akhirnya belilah di offline store dan menyesal 😭","Baru bgt beli Samsung a57 nyesel bgt, dpt harga 6.7 kemakan rayuan sales. Bagiku overprice bgt mending beli Xiaomi 14t ato nggk Poco x8 pro. Berhubung kepepet Hp lama matot dan ragu beli online karna bnyk yg zonk walaupun beli di official store-nya. Akhirnya belilah di offline store dan menyesal 😭",baru banget beli samsung a57 nyesel banget dapat harga makan rayu sales bagi overprice banget mending beli xiaomi 14t ato nggk poco x8 pro hubung pepet handphone lama matot ragu beli online karna bnyk zonk walaupun beli official store akhir bilah offline store sesal,Negatif,99.83,299,51
"Hp nya di beli dulu , baru liat reviewnya 😅","Hp nya di beli dulu , baru liat reviewnya 😅",handphone beli dulu baru liat reviewnya,Negatif,60.42,43,10
"Knp ya samsung a37 saya instagram dan tiktok atasnya ada garis hitam layarnya nggak full ada solusi teman2
Terima kasih sebelumnya",Knp ya samsung a37 saya instagram dan tiktok atasnya ada garis hitam layarnya nggak full ada solusi teman2 Terima kasih sebelumnya,knp samsung a37 instagram tiktok atas garis hitam layar tidak full solusi teman2 terima kasih belum,Netral,63.92,130,21
"Sayangnya tiap tahun bisa lebih dari 1x keluar varian baru.
Jd karna terlalu cpt keluar yg baru, hp yg baru kita beli jd Keliat lama 😂","Sayangnya tiap tahun bisa lebih dari 1x keluar varian baru. Jd karna terlalu cpt keluar yg baru, hp yg baru kita beli jd Keliat lama 😂",sayang tiap tahun lebih 1x keluar varian baru jd karna terlalu cpt keluar baru handphone baru beli jd liat lama,Negatif,96.81,134,26
Online shop yang divideo amanah ndak mas david,Online shop yang divideo amanah ndak mas david,online shop video amanah ndak mas david,Netral,73.49,46,8
Lagi nonton dan Msh setia dg A55,Lagi nonton dan Msh setia dg A55,lagi nonton msh setia dg a55,Positif,98.88,32,7
"Penggemar samsung seri apapun. Dari jaman dulu samsung corby, samsung note, samsung S, samsung A. Aku punya samsung A80 tahun 2018, sampe hari ini masih jalan mulus ga ada cacat. Batre msh aman ga kembung ga drop. Baru 1 mingguan ini aja lcdnya kena bocor liquid jd ungu, tp sentuhannya ga ada masalah msh jalan biasa. Wajar sih karena udah 8th pemakaian. Ga tergiur merk android lain. Punya suami android merk apa lupa tp seri bagus yg harga 12jt buat game. 4 rhn pake udah ga nyala total. Iphone pun bikin kesel krn batrenya cpt bgt drop, panas bgt padahql cuka dipake bntr dan bukan ngegame, kabel charger yg sering harus ganti tiba2 ga nyala. Kapok

Ga melebih2kan, cuma dari pengalaman aja 😂. Tapi skrg kalo beli samsung udah ga dpt kepala charger harus beli terpisah. Variannya juga bingung kaya upgradenya nanggung ga beda jauh. Itu yg bikin mikir skrg","Penggemar samsung seri apapun. Dari jaman dulu samsung corby, samsung note, samsung S, samsung A. Aku punya samsung A80 tahun 2018, sampe hari ini masih jalan mulus ga ada cacat. Batre msh aman ga kembung ga drop. Baru 1 mingguan ini aja lcdnya kena bocor liquid jd ungu, tp sentuhannya ga ada masalah msh jalan biasa. Wajar sih karena udah 8th pemakaian. Ga tergiur merk android lain. Punya suami android merk apa lupa tp seri bagus yg harga 12jt buat game. 4 rhn pake udah ga nyala total. Iphone pun bikin kesel krn batrenya cpt bgt drop, panas bgt padahql cuka dipake bntr dan bukan ngegame, kabel charger yg sering harus ganti tiba2 ga nyala. Kapok Ga melebih2kan, cuma dari pengalaman aja 😂. Tapi skrg kalo beli samsung udah ga dpt kepala charger harus beli terpisah. Variannya juga bingung kaya upgradenya nanggung ga beda jauh. Itu yg bikin mikir skrg",gemar samsung seri apa jaman dulu samsung corby samsung note samsung samsung aku punya samsung a80 tahun 2018 sampe hari masih jalan mulus tidak cacat batre msh aman tidak kembung tidak drop baru minggu lcdnya kena bocor liquid jd ungu sentuh tidak masalah msh jalan biasa wajar sih karena 8th pakai tidak giur merk android lain punya suami android merk apa lupa seri bagus harga 12jt buat game rhn pake tidak nyala total iphone pun bikin kesel karena batrenya cpt banget drop panas banget padahql cuka dipake bntr bukan ngegame kabel charger sering harus ganti tiba2 tidak nyala kapok tidak melebih2kan cuma alam skrg beli samsung tidak dapat kepala charger harus beli pisah varian juga bingung kaya upgradenya nanggung tidak beda jauh bikin mikir skrg,Positif,70.42,859,150
"beli hp samsung yg dpt speaker HK, itu hp yg harga berapa yaak?","beli hp samsung yg dpt speaker HK, itu hp yg harga berapa yaak?",beli handphone samsung dapat speaker hk handphone harga berapa yaak,Netral,82.17,63,13
Apa lah daya punya hp samsung a03😅 download pembaharuan WA memori penuh,Apa lah daya punya hp samsung a03😅 download pembaharuan WA memori penuh,apa lah daya punya handphone samsung a03 download baharu wa memori penuh,Negatif,52.7,71,12
Nonton di samsung a56 😅😅😅😅,Nonton di samsung a56 😅😅😅😅,nonton samsung a56,Netral,55.75,26,5
Kalau A57 dan s24fe mending pilih mna ya!,Kalau A57 dan s24fe mending pilih mna ya!,a57 s24fe mending pilih mna,Netral,81.56,41,8
Mending ngambil hp iqqo sih,Mending ngambil hp iqqo sih,mending ngambil handphone iqqo sih,Negatif,93.92,27,5
A20s🔥😢,A20s🔥😢,a20s,Negatif,90.29,6,1
Aku udh cukup dgn A55 .. walaupun bukan iphone tp bgs kameranya,Aku udh cukup dgn A55 .. walaupun bukan iphone tp bgs kameranya,aku cukup dgn a55 walaupun bukan iphone bagus kamera,Positif,71.4,63,12
